"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","CV_young_Fem_GP_1","CV_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs.kg_inter_Fem_GP_1","Eggs.kg_slope_wt_Fem_GP_1","RecrDist_GP_1","RecrDist_Area_1","RecrDist_month_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_InitAge_25","Early_InitAge_24","Early_InitAge_23","Early_InitAge_22","Early_InitAge_21","ForeRecr_101","ForeRecr_102","ForeRecr_103","ForeRecr_104","ForeRecr_105","ForeRecr_106","ForeRecr_107","ForeRecr_108","ForeRecr_109","ForeRecr_110","ForeRecr_111","ForeRecr_112","LnQ_base_Survey_2","Q_base_env_3","Size_DblN_peak_Fishery_1","Size_DblN_top_logit_Fishery_1","Size_DblN_ascend_se_Fishery_1","Size_DblN_descend_se_Fishery_1","Size_DblN_start_logit_Fishery_1","Size_DblN_end_logit_Fishery_1","Size_DblN_peak_Survey_2","Size_DblN_top_logit_Survey_2","Size_DblN_ascend_se_Survey_2","Size_DblN_descend_se_Survey_2","Size_DblN_start_logit_Survey_2","Size_DblN_end_logit_Survey_2","minage.sel.1_Fishery_1","maxage.sel.1_Fishery_1","minage.sel.1_Survey_2","maxage.sel.1_Survey_2","Catch_endyear","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_Fishery","Curr_Var_Adj_lcomp_flt_2_Survey","Curr_Var_Adj_agecomp_flt_1_Fishery","Curr_Var_Adj_agecomp_flt_2_Survey","version","RunTime","model_run","hessian","Niterations","Late_RecrDev_101","Late_RecrDev_102","Late_RecrDev_103","Late_RecrDev_104","Late_RecrDev_105","Late_RecrDev_106","Late_RecrDev_107","Late_RecrDev_108","Late_RecrDev_109","Late_RecrDev_110","Late_RecrDev_111","Late_RecrDev_112","ForeRecr_113","iteration","scenario"
4548750000,4582180000,4580630000,148121000,1819500000,0.480769,0.150979,278711000,1394950000,0.202129,286900000,1425840000,0.405876,0.19784,286959000,286959000,1.52271e-05,0.508867271228359,"needs_Hessian",-9.1056,17.5855,100.778,100.988,0.961,NA,NA,NA,0.2,20.2339,130.501,0.205253,0.0876397,0.106052,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.8135,0.65,0.8,0,0,-0.679879,-0.232539,0.205796,-0.503142,-0.190068,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.554,-3,5.11445,15,-999,999,75.7361,-4,5.30817,14,-99,99,0,25,0,25,201592000,2136.99,4.48306e-16,0,-59.0271,1348.42,823.779,23.8123,0,0,0,0.000693684,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.71666666666667,"em",FALSE,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0.1_10"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.148763,246597000,1252480000,0.199092,253759000,1281700000,0.40619,0.19465,253816000,253816000,NA,0.674791512616976,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,100,-3,5.1,15,-999,999,75,-4,5.2,14,-99,99,0,25,0,25,257113000,628410000,627934000,0,469409,4364.99,2052.99,55.943,0,6.44321,0,0.000701485,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,0.0333189,0.325607,0.591501,0.82243,-0.400432,0.678793,-0.7788,-0.776731,-0.836535,-1.15084,-0.0942095,-1.30045,-1.24848,1,"0.1_10"
4863470000,4899900000,4898240000,158053000,1945390000,0.480769,0.147661,291529000,1491460000,0.197403,299682000,1533500000,0.40748,0.192118,299781000,299781000,1.90256e-05,0.342296755197421,"needs_Hessian",-14.1112,19.4476,100.04,100.953,0.9648,NA,NA,NA,0.2,21.2201,131.915,0.19796,0.0954241,0.0945007,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.8784,0.65,0.8,0,0,0.0223861,-0.116798,-0.318377,0.901542,0.623577,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.234,-3,5.16779,15,-999,999,75.438,-4,5.14613,14,-99,99,0,25,0,25,121885000,2221.94,1.88999e-16,0,-59.0219,1373.29,885.436,22.2341,0,0,0,0.000694506,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.6,"em",FALSE,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"0.1_10"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.148763,246597000,1252480000,0.199092,253759000,1281700000,0.40619,0.19465,253816000,253816000,NA,0.705644707138275,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,100,-3,5.1,15,-999,999,75,-4,5.2,14,-99,99,0,25,0,25,180079000,623129000,622663000,0,459965,4344.65,1954.47,57.7081,0,6.87991,0,0.000701485,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-0.587207,-1.55267,-0.323532,0.831869,-0.367237,-1.3321,-0.179962,1.38878,-0.466,-0.472424,-0.297398,0.46004,-0.801962,2,"0.1_10"
5254460000,5294130000,5292300000,171683000,2101780000,0.480769,0.148124,315988000,1611370000,0.198312,325305000,1645240000,0.405579,0.194311,325365000,325365000,4.56121e-06,0.409370325399756,"needs_Hessian",-9.251,15.4212,100.183,100.943,0.9606,NA,NA,NA,0.2,19.733,132.22,0.197665,0.10817,0.0966103,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.9612,0.65,0.8,0,0,-0.701869,-0.397752,-0.453061,-0.120653,-0.377225,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98.7895,-3,4.96185,15,-999,999,75.516,-4,5.22569,14,-99,99,0,25,0,25,180207000,2134.14,2.06014e-16,0,-60.867,1331.72,834.832,28.4542,1.95e-31,0,0,0.000709696,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.38333333333333,"em",FALSE,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0.1_10"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.148763,246597000,1252480000,0.199092,253759000,1281700000,0.40619,0.19465,253816000,253816000,NA,0.470669755005901,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,100,-3,5.1,15,-999,999,75,-4,5.2,14,-99,99,0,25,0,25,135652000,621166000,620682000,0,478031,4359.3,2008.98,60.1701,0,7.53021,0,0.000701485,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0,"om",FALSE,2,-0.402746,-0.965972,-1.6963,-0.466451,0.122866,0.581626,-1.01496,0.13866,0.292517,-1.0153,-0.0175449,-1.53097,-0.764869,3,"0.1_10"
5158350000,5197110000,5195350000,167573000,2063340000,0.480769,0.148224,310400000,1581890000,0.198281,319283000,1621810000,0.406697,0.193507,319368000,319368000,1.81409e-05,0.444078048213091,"needs_Hessian",-7.5038,17.6827,100.806,101,0.959,NA,NA,NA,0.2,20.642,132.2,0.19717,0.0950391,0.101294,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.9369,0.65,0.8,0,0,0.0304944,0.28746,-0.248907,0.17923,-0.398836,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.128,-3,5.13087,15,-999,999,73.8967,-4,5.05472,14,-99,99,0,25,0,25,207208000,2176.68,1.885e-16,0,-59.7054,1352.54,857.551,26.2961,0,0,0,0.000712512,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.7,"em",FALSE,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"0.1_10"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.148763,246597000,1252480000,0.199092,253759000,1281700000,0.40619,0.19465,253816000,253816000,NA,0.56740643164601,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,100,-3,5.1,15,-999,999,75,-4,5.2,14,-99,99,0,25,0,25,159493000,635418000,634937000,0,474622,4370.03,2043,53.9264,0,3.72422,0,0.000701485,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-0.18425,0.0665602,-0.509495,0.442816,-1.42371,-0.874723,0.140343,0.239005,0.299379,0.160773,-0.691937,0.144395,-0.888225,4,"0.1_10"
4804420000,4840300000,4838650000,159366000,1921770000,0.480769,0.15244,297296000,1473360000,0.204131,306115000,1504520000,0.405613,0.199989,306172000,306172000,2.17854e-05,0.427260730743773,"needs_Hessian",-13.9596,17.4825,100.095,100.504,0.9576,NA,NA,NA,0.2,17.9769,128.884,0.212987,0.0768482,0.115595,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.8867,0.65,0.8,0,0,0.221038,-0.158405,0.0389933,-0.496958,0.015104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99.8213,-3,5.08015,15,-999,999,73.3756,-4,5.1242,14,-99,99,0,25,0,25,208437000,2200.77,3.93767e-16,0,-60.954,1389.5,840.891,31.3305,0,0,0,0.00071629,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.65,"em",FALSE,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"0.1_10"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.148763,246597000,1252480000,0.199092,253759000,1281700000,0.40619,0.19465,253816000,253816000,NA,0.576906502651695,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,100,-3,5.1,15,-999,999,75,-4,5.2,14,-99,99,0,25,0,25,197397000,627952000,627483000,0,462397,4364.91,2027.11,61.1189,0,5.46243,0,0.000701485,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.3462,0.539765,0.841217,-0.327988,0.12143,0.494828,-1.07469,0.0256615,-1.42573,-0.301347,0.697931,-0.107063,0.189153,5,"0.1_10"
