"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","SD_young_Fem_GP_1","SD_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs_scalar_Fem_GP_1","Eggs_exp_len_Fem_GP_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_InitAge_18","Early_InitAge_17","Early_InitAge_16","Early_InitAge_15","Early_InitAge_14","Early_InitAge_13","Early_InitAge_12","Early_InitAge_11","Early_InitAge_10","Early_InitAge_9","Early_InitAge_8","Early_InitAge_7","Early_InitAge_6","Early_InitAge_5","Early_InitAge_4","Early_InitAge_3","Early_InitAge_2","Early_InitAge_1","Early_RecrDev_1923","Early_RecrDev_1924","Early_RecrDev_1925","Early_RecrDev_1926","Early_RecrDev_1927","Early_RecrDev_1928","Early_RecrDev_1929","ForeRecr_2023","ForeRecr_2024","ForeRecr_2025","ForeRecr_2026","ForeRecr_2027","ForeRecr_2028","ForeRecr_2029","ForeRecr_2030","ForeRecr_2031","ForeRecr_2032","ForeRecr_2033","ForeRecr_2034","LnQ_base_WCGBTS_4","Q_base_env_5","Size_DblN_peak_North_1","Size_DblN_top_logit_North_1","Size_DblN_ascend_se_North_1","Size_DblN_descend_se_North_1","Size_DblN_start_logit_North_1","Size_DblN_end_logit_North_1","Size_DblN_peak_South_2","Size_DblN_top_logit_South_2","Size_DblN_ascend_se_South_2","Size_DblN_descend_se_South_2","Size_DblN_start_logit_South_2","Size_DblN_end_logit_South_2","Size_DblN_peak_WCGBTS_4","Size_DblN_top_logit_WCGBTS_4","Size_DblN_ascend_se_WCGBTS_4","Size_DblN_descend_se_WCGBTS_4","Size_DblN_start_logit_WCGBTS_4","Size_DblN_end_logit_WCGBTS_4","dead.B.._1","dead.B.._2","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_North","Curr_Var_Adj_lcomp_flt_2_South","Curr_Var_Adj_lcomp_flt_4_WCGBTS","Curr_Var_Adj_agecomp_flt_1_North","Curr_Var_Adj_agecomp_flt_2_South","Curr_Var_Adj_agecomp_flt_4_WCGBTS","version","RunTime","model_run","hessian","Niterations","ForeRecr_2035","ForeRecr_2036","ForeRecr_2037","ForeRecr_2038","ForeRecr_2039","ForeRecr_2040","ForeRecr_2041","ForeRecr_2042","ForeRecr_2043","ForeRecr_2044","ForeRecr_2045","ForeRecr_2046","iteration","scenario"
47.6071,58264.8,57772.7,15596.8,11.9018,0.296875,0.1439,2798.49,12.0605,0.142484,2798.99,12.2465,0.303663,0.140846,2799.19,2799.19,0.00239773,0.329253409680489,"needs_Hessian",1948.96,1973.25,2022.18,2022.98,0.9356,NA,NA,NA,0.142344,9.2948,47.9018,0.19189,1.07991,5.14392,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.65482,0.8,0.5,0,0,0.000726717,0.000834144,0.000956136,0.00109476,0.00125001,0.00142505,0.0016209,0.00183899,0.00208023,0.00234509,0.00263367,0.00294592,0.00328174,0.00364348,0.0040385,0.00447197,0.00494632,0.00546028,0.00601129,0.00658364,0.00716841,0.00774561,0.00828275,0.00873222,0.00903861,0,0,0,0,0,0,0,0,0,0,0,0,-9.18151,1,60.2878,-15,5.26545,20,-999,-999,53.0139,-15,5.9572,20,-999,-999,49.0041,-15,5.53189,20,-999,-999,2024.22,1662.48,2231.6,0.000109019,0,-86.8325,1226.89,1108.49,-17.0992,0,0,0.150737,0.000758968,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.43333333333333,"em",FALSE,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.510975050749787,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.14172,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,2178.09,1064.16,210342000,210327000,0,2254.2,1393.8,11070,55.8765,1.05813e-30,12.0345,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0,"om",FALSE,2,-0.705298,1.07229,-0.661973,-0.348119,0.330826,-0.138678,0.753606,1.07242,-0.134693,0.269351,0.748186,-1.14605,1,"0.05_10"
44.5127,55637.2,55079.2,16817.5,11.1282,0.296875,0.145946,2770.48,11.2765,0.144531,2770.78,11.3521,0.30159,0.143818,2770.81,2770.81,0.00178949,0.268718815079741,"needs_Hessian",1950.38,1972.13,2022.54,2022.76,0.9355,NA,NA,NA,0.150708,9.84949,48.0495,0.181165,1.20884,4.98919,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.73018,0.8,0.5,0,0,-0.000176927,-0.000204666,-0.000236499,-0.000273093,-0.000314012,-0.000359953,-0.00041196,-0.000470084,-0.000534945,-0.000606616,-0.000685331,-0.000773656,-0.000869679,-0.000975484,-0.00109453,-0.00122985,-0.00138418,-0.00155968,-0.0017569,-0.00197248,-0.00220199,-0.0024319,-0.00263482,-0.00275903,-0.00271891,0,0,0,0,0,0,0,0,0,0,0,0,-9.09164,1,61.6152,-15,5.34097,20,-999,-999,54.0062,-15,5.92065,20,-999,-999,49.5166,-15,5.61694,20,-999,-999,1463.51,1257.65,2329.66,0.00018518,0,-89.887,1263.09,1174.96,-18.5718,0,0,0.06657,0.00087891,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.36666666666667,"em",FALSE,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.406583284220636,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.0094,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1760.24,868.067,209224000,209209000,0,2241.55,1387.2,10950.1,58.8596,1.05813e-30,8.31392,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-0.426226,1.32661,-0.409412,-0.170673,-0.356721,-0.120974,-0.520313,0.024166,-1.10666,0.532024,0.243838,-0.195579,2,"0.05_10"
36.6082,48668.2,48145.6,19091.1,9.15205,0.296875,0.157367,2671.34,9.27408,0.155871,2671.65,9.34674,0.301861,0.154989,2671.7,2671.7,0.00071417,0.395578039892702,"needs_Hessian",1938.25,1979.11,2022,2022.1,0.946,NA,NA,NA,0.1678,8.74445,47.2093,0.195492,1.40498,4.86372,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.85698,0.8,0.5,0,0,-0.000977964,-0.0011489,-0.00134759,-0.0015778,-0.00184385,-0.00214924,-0.00249802,-0.00289357,-0.00333871,-0.00383535,-0.00438414,-0.00498545,-0.00564081,-0.00635707,-0.00714917,-0.00803291,-0.00901905,-0.0101147,-0.0113262,-0.0126469,-0.0140887,-0.0156613,-0.0173739,-0.0192403,-0.0213054,0,0,0,0,0,0,0,0,0,0,0,0,-8.98375,1,67.4658,-15,5.49788,20,-999,-999,59.7361,-15,6.19919,20,-999,-999,58.8796,-15,6.09842,20,-999,-999,1932.83,1629.32,2319.51,0.00821797,0,-76.4956,1209.04,1200.9,-13.9428,0,0,0.00016801,0.00302225,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.25,"em",FALSE,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.339259598803833,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.29134,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1391.53,711.491,209718000,209703000,0,2047.59,1392.64,10909.6,60.904,1.05813e-30,5.28509,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0,"om",FALSE,2,-0.403043,-0.382827,-0.382906,0.337767,0.732843,-0.769062,-0.532717,-0.174773,-0.219949,-0.577375,-0.445867,-0.222383,3,"0.05_10"
51.0787,62998.1,62542.4,15570,12.7697,0.296875,0.141271,2953.83,12.9399,0.139881,2954.52,13.228,0.305287,0.137566,2954.97,2954.97,0.00116438,0.305559851758169,"needs_Hessian",1952.7,1971.6,2022.06,2022.3,0.9238,NA,NA,NA,0.133192,8.84789,47.0828,0.198778,0.838425,5.15831,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.6531,0.8,0.5,0,0,-0.000545665,-0.000620871,-0.000705839,-0.000801593,-0.000908601,-0.0010277,-0.00116042,-0.00130729,-0.00146888,-0.00164557,-0.00183755,-0.00204491,-0.00227017,-0.00251405,-0.00278251,-0.00308106,-0.00341379,-0.00378373,-0.0041934,-0.00463945,-0.00512057,-0.00562732,-0.00613629,-0.00660138,-0.00694529,0,0,0,0,0,0,0,0,0,0,0,0,-9.10626,1,61.2964,-15,5.27665,20,-999,-999,55.9432,-15,6.09957,20,-999,-999,53.7392,-15,5.89099,20,-999,-999,1833.44,1669.43,2412.89,8.36201e-05,0,-86.8592,1294.34,1216.79,-11.6778,1.21069e-30,0,0.291408,0.00127865,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.68333333333333,"em",FALSE,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.400517320411237,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.23025,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1795.43,855.951,216069000,216055000,0,1800.66,1397.89,11018.4,54.2623,1.05813e-30,6.89458,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0,"om",FALSE,2,-0.48014,-0.924086,-0.175126,-0.795941,-0.756427,-0.207348,-0.0632734,-0.82652,-0.166598,-0.298471,-0.417204,0.324681,4,"0.05_10"
44.9562,55593.7,55122.5,16526.5,11.239,0.296875,0.148431,2793.22,11.3889,0.146987,2793.67,11.5412,0.303177,0.145536,2793.82,2793.82,0.000694331,0.35931417690997,"needs_Hessian",1955.65,1968.39,2022.72,2022.84,0.9275,NA,NA,NA,0.150036,8.83299,48.1165,0.188965,1.29431,5.02292,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.71272,0.8,0.5,0,0,-0.00472127,-0.00544781,-0.00627769,-0.00722204,-0.00829233,-0.00949962,-0.0108544,-0.012365,-0.0140377,-0.0158755,-0.0178786,-0.0200461,-0.0223825,-0.0249105,-0.0276785,-0.0307348,-0.0341118,-0.0378311,-0.0418954,-0.0463171,-0.0511284,-0.0563623,-0.0620423,-0.0681796,-0.074831,0,0,0,0,0,0,0,0,0,0,0,0,-9.14812,1,59.8907,-15,5.25632,20,-999,-999,55.1402,-15,6.04074,20,-999,-999,50.2713,-15,5.69524,20,-999,-999,1873.4,1614.91,2434.66,0.000368263,0,-87.3849,1312.37,1222.19,-12.5762,0,0,0.0719337,0.000877265,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.38333333333333,"em",FALSE,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.430438958374261,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.07265,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1760.64,894.049,210573000,210559000,0,2250.38,1402.48,10955.4,61.455,1.05813e-30,6.41976,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0,"om",FALSE,2,0.193221,-0.567591,-0.052784,-0.347633,0.515741,-0.699881,-0.695077,0.238144,-1.15127,-0.106223,0.277512,0.131783,5,"0.05_10"
