"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","SD_young_Fem_GP_1","SD_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs_scalar_Fem_GP_1","Eggs_exp_len_Fem_GP_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_InitAge_18","Early_InitAge_17","Early_InitAge_16","Early_InitAge_15","Early_InitAge_14","Early_InitAge_13","Early_InitAge_12","Early_InitAge_11","Early_InitAge_10","Early_InitAge_9","Early_InitAge_8","Early_InitAge_7","Early_InitAge_6","Early_InitAge_5","Early_InitAge_4","Early_InitAge_3","Early_InitAge_2","Early_InitAge_1","Early_RecrDev_1923","Early_RecrDev_1924","Early_RecrDev_1925","Early_RecrDev_1926","Early_RecrDev_1927","Early_RecrDev_1928","Early_RecrDev_1929","ForeRecr_2023","ForeRecr_2024","ForeRecr_2025","ForeRecr_2026","ForeRecr_2027","ForeRecr_2028","ForeRecr_2029","ForeRecr_2030","ForeRecr_2031","ForeRecr_2032","ForeRecr_2033","ForeRecr_2034","LnQ_base_WCGBTS_4","Q_base_env_5","Size_DblN_peak_North_1","Size_DblN_top_logit_North_1","Size_DblN_ascend_se_North_1","Size_DblN_descend_se_North_1","Size_DblN_start_logit_North_1","Size_DblN_end_logit_North_1","Size_DblN_peak_South_2","Size_DblN_top_logit_South_2","Size_DblN_ascend_se_South_2","Size_DblN_descend_se_South_2","Size_DblN_start_logit_South_2","Size_DblN_end_logit_South_2","Size_DblN_peak_WCGBTS_4","Size_DblN_top_logit_WCGBTS_4","Size_DblN_ascend_se_WCGBTS_4","Size_DblN_descend_se_WCGBTS_4","Size_DblN_start_logit_WCGBTS_4","Size_DblN_end_logit_WCGBTS_4","dead.B.._1","dead.B.._2","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_North","Curr_Var_Adj_lcomp_flt_2_South","Curr_Var_Adj_lcomp_flt_4_WCGBTS","Curr_Var_Adj_agecomp_flt_1_North","Curr_Var_Adj_agecomp_flt_2_South","Curr_Var_Adj_agecomp_flt_4_WCGBTS","version","RunTime","model_run","hessian","Niterations","ForeRecr_2035","ForeRecr_2036","ForeRecr_2037","ForeRecr_2038","ForeRecr_2039","ForeRecr_2040","ForeRecr_2041","ForeRecr_2042","ForeRecr_2043","ForeRecr_2044","ForeRecr_2045","ForeRecr_2046","iteration","scenario"
42.5096,55637.9,55091.3,19448.1,10.6274,0.296875,0.154484,2955.49,10.7691,0.153001,2955.92,10.8949,0.302775,0.151699,2956.05,2956.05,0.00260545,0.312562338859928,"needs_Hessian",1920.48,1975.31,2022.15,2022.76,0.9699,NA,NA,NA,0.158446,8.75056,46.9841,0.200511,1.22505,4.95594,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.87551,0.8,1,0,0,-0.0072201,-0.00840386,-0.00976828,-0.0113353,-0.0131271,-0.0151659,-0.0174737,-0.0200683,-0.0229636,-0.026167,-0.0296791,-0.0334965,-0.0376227,-0.0420899,-0.0469675,-0.0523273,-0.0579507,-0.0637867,-0.0699768,-0.0765403,-0.083494,-0.0909238,-0.0988802,-0.107346,-0.116337,0,0,0,0,0,0,0,0,0,0,0,0,-8.91376,1,66.8079,-15,5.49456,20,-999,-999,58.7661,-15,6.17163,20,-999,-999,55.5446,-15,5.89013,20,-999,-999,2281.65,1734.87,2204.06,1.73565e-05,0,-76.3876,1209.55,1044.61,26.2716,0,0,0.0206776,0.00202947,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.71666666666667,"em",FALSE,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0.1_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.556728439525899,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.13754,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,2350.05,1149.96,206448000,206430000,0,4968.44,1451.23,11891.1,66.0963,2.64531e-31,11.8535,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.6606,1.89457,-1.57395,-0.946238,0.411652,-0.527357,1.25721,1.89484,-0.519387,0.288703,1.24637,-2.5421,1,"0.1_10"
42.6741,55753.4,55200.8,19643,10.6685,0.296875,0.154235,2956.6,10.8108,0.152752,2956.99,10.9137,0.30226,0.15169,2957.07,2957.07,0.000496199,0.166949273681226,"needs_Hessian",1921.65,1975.69,2022.46,2022.61,0.9725,NA,NA,NA,0.159599,8.77546,47.0981,0.199903,1.18274,4.96555,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.88548,0.8,1,0,0,-0.00523514,-0.00610126,-0.00710095,-0.00825065,-0.00956789,-0.011071,-0.0127747,-0.0146938,-0.0168388,-0.0192157,-0.0218252,-0.0246634,-0.0277302,-0.0310494,-0.0346713,-0.0386459,-0.0429925,-0.0475629,-0.0521399,-0.0569514,-0.0620265,-0.0674551,-0.0733346,-0.0797583,-0.0869232,0,0,0,0,0,0,0,0,0,0,0,0,-8.77497,1,66.3238,-15,5.52959,20,-999,-999,57.3439,-15,6.12467,20,-999,-999,53.1628,-15,5.85914,20,-999,-999,991.668,847.757,2310.96,3.28936e-05,0,-75.7291,1254.84,1107.14,24.6946,0,0,0.0161955,0.00162518,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",3.33333333333333,"em",FALSE,1442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"0.1_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.390186191692314,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.7779,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1641.82,846.454,203531000,203514000,0,4656.61,1426.8,11449.5,68.9697,2.64531e-31,9.27885,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.10245,2.40321,-1.06882,-0.591347,-0.963442,-0.491947,-1.29063,-0.201668,-2.46332,0.814049,0.237675,-0.641157,2,"0.1_10"
42.1012,55695.1,55081.6,21547.9,10.5253,0.296875,0.157242,3044.79,10.6656,0.155749,3045.25,10.7962,0.302908,0.154374,3045.39,3045.39,0.000184761,0.287001320627441,"needs_Hessian",1918.93,1971.86,2022.13,2022.99,0.9689,NA,NA,NA,0.16755,8.9414,47.3207,0.195242,1.36621,4.89057,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.97803,0.8,1,0,0,-0.00465283,-0.00546257,-0.00640405,-0.00749407,-0.00875081,-0.0101933,-0.0118395,-0.0137051,-0.0158027,-0.0181406,-0.0207228,-0.0235474,-0.0266182,-0.029954,-0.033586,-0.0372668,-0.0412476,-0.045501,-0.0499581,-0.0545648,-0.0592992,-0.0641847,-0.0692236,-0.0743899,-0.0797538,0,0,0,0,0,0,0,0,0,0,0,0,-9.18609,1,68.6194,-15,5.57372,20,-999,-999,61.0461,-15,6.26869,20,-999,-999,55.2888,-15,5.90575,20,-999,-999,1826.99,1488.16,2304.91,5.35071e-05,0,-61.142,1180.46,1156.46,29.1363,0,0,0.000267654,0.00231829,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.38333333333333,"em",FALSE,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0.1_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.252871455700347,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.32069,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,976.46,525.821,204511000,204494000,0,4245.47,1436.07,11391,72.8695,2.64531e-31,7.18022,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.05609,-1.01565,-1.01581,0.425535,1.21569,-1.78812,-1.31543,-0.599547,-0.689897,-1.40475,-1.14173,-0.694766,3,"0.1_10"
59.5074,73373,72804,20122,14.8769,0.296875,0.142634,3503.88,15.0752,0.14124,3504.68,15.3964,0.30506,0.139018,3505.16,3505.16,0.00017761,0.246863415306332,"needs_Hessian",1914.42,1975.6,2022.16,2022.75,0.9614,NA,NA,NA,0.142953,8.73264,47.8041,0.193377,1.073,4.90117,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.90957,0.8,1,0,0,-0.0154615,-0.0177091,-0.0202561,-0.0231325,-0.0263664,-0.029987,-0.0340198,-0.0384842,-0.0433931,-0.0487499,-0.0543131,-0.0600729,-0.0661817,-0.0726674,-0.0796193,-0.0871065,-0.0951498,-0.10373,-0.112649,-0.122085,-0.131952,-0.142298,-0.153116,-0.164327,-0.175886,0,0,0,0,0,0,0,0,0,0,0,0,-9.33281,1,62.2115,-15,5.34998,20,-999,-999,54.6447,-15,6.06463,20,-999,-999,52.2347,-15,5.83881,20,-999,-999,1698.83,1579.86,2303.91,0.000109449,0,-75.0528,1273.84,1078.53,26.4418,0,0,0.143267,0.00114323,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.61666666666667,"em",FALSE,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"0.1_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.328286730840591,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.32693,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1491.25,706.124,219381000,219364000,0,3431.54,1454.95,11660.7,60.2822,2.64531e-31,9.6628,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.21028,-2.09817,-0.600253,-1.84188,-1.76285,-0.664697,-0.376547,-1.90304,-0.583195,-0.846942,-1.08441,0.399362,4,"0.1_10"
44.3687,58622.1,57926,23315.2,11.0922,0.296875,0.160464,3304.43,11.2401,0.15895,3304.79,11.3201,0.30169,0.158138,3304.84,3304.84,0.00062931,0.352448911056668,"needs_Hessian",1921.24,1975.3,2022.28,2022.73,0.9709,NA,NA,NA,0.170977,9.32326,47.656,0.189608,1.31267,4.8947,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,10.0569,0.8,1,0,0,-0.00447154,-0.0052639,-0.00618678,-0.00725766,-0.00849611,-0.00991937,-0.0115459,-0.0133919,-0.0154706,-0.01779,-0.020353,-0.0231574,-0.0262033,-0.0295093,-0.033121,-0.0370746,-0.0413707,-0.0456834,-0.0500828,-0.0546137,-0.0592941,-0.0642296,-0.0695497,-0.0754048,-0.0820982,0,0,0,0,0,0,0,0,0,0,0,0,-8.803,1,63.5596,-15,5.39513,20,-999,-999,60.74,-15,6.19597,20,-999,-999,54.6334,-15,5.86309,20,-999,-999,1900.71,1695.34,2327.76,0.000280538,0,-68.5523,1245.98,1117.42,32.9136,0,0,0.000888993,0.00170953,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.33333333333333,"em",FALSE,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"0.1_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.415731342632004,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.89612,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1647.89,855.277,208645000,208627000,0,4571.14,1470.43,11412.1,71.3523,2.64531e-31,7.9268,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,0.136441,-1.38518,-0.355568,-0.945265,0.781482,-1.64976,-1.64015,0.226288,-2.55255,-0.462445,0.305024,0.0135657,5,"0.1_10"
